Company,Facility,OrderID,OrderType,Customer,Carrier,Reference,PO,SO,PRO,StoreNo,CreateTime,ScheduleDate,AppointmentTime,InYardDate,PickedDate,ShippedDate,Cancelled,CancelledDate,EntryType,ContainerNo,ContainerType,ContainerQty,TrailerQty,TrailerType,EntryID,RushOrder,LoadNo,LoadType,UsedHours,LabelQty,Item,ItemGrade,ItemType,Title,Supplier,ItemUOM,OrderedQty,PickType,PickQty,ShippedQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM,PalletType,PalletQty
LT,VB,DN-4324,,EFIKEE0001,UKWN,DN-03192018120031353,4500028041,4610184M03,,LV01,2018-03-19 00:04:23,2018-03-19 12:00:00,,2018-04-03 22:20:20,,2018-04-10 13:35:05,false,,EDI,,,0,0,48,,false,LOAD-2450,,0,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008313,,,EFIKEE0001,EFIKEE0001,EA,1212,,1212,1212,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4325,,EFIKEE0001,UKWN,DN-03192018120035427,4500028040,4610184M04,,LV01,2018-03-19 00:04:23,2018-03-19 12:00:00,,2018-04-03 09:00:55,,2018-04-10 13:30:10,false,,EDI,,,0,0,48,,false,LOAD-2062,,0,124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007969,,,EFIKEE0001,EFIKEE0001,EA,744,,744,744,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4326,,EFIKEE0001,UKWN,DN-03192018120072457,4500028043,4610184M04,,LV01,2018-03-19 00:04:24,2018-03-19 12:00:00,,2018-04-03 09:00:55,,2018-04-10 13:30:10,false,,EDI,,,0,0,48,,false,LOAD-2062,,0,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015401,,,EFIKEE0001,EFIKEE0001,EA,1212,,1212,1212,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4327,,EFIKEE0001,UKWN,DN-03192018120090766,4500028040,4610184M03,,LV01,2018-03-19 00:04:24,2018-03-19 12:00:00,,2018-04-03 22:20:20,,2018-04-10 13:35:05,false,,EDI,,,0,0,48,,false,LOAD-2450,,0,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007969,,,EFIKEE0001,EFIKEE0001,EA,456,,456,456,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4328,,EFIKEE0001,UKWN,DN-03192018120061456,4500028042,4610184M04,,LV01,2018-03-19 00:04:25,2018-03-19 12:00:00,,2018-04-03 09:00:55,,2018-04-10 13:30:10,false,,EDI,,,0,0,48,,false,LOAD-2062,,0,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010104,,,EFIKEE0001,EFIKEE0001,EA,1212,,1212,1212,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4329,,EFIKEE0001,UKWN,DN-03192018120121996,4500028049,4610184M04,,LV01,2018-03-19 00:04:27,2018-03-19 12:00:00,,2018-04-03 09:00:55,,2018-04-10 13:30:10,false,,EDI,,,0,0,48,,false,LOAD-2062,,0,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018647,,,EFIKEE0001,EFIKEE0001,EA,516,,516,516,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4330,,EFIKEE0001,UKWN,DN-03192018120176901,4500028049,4610184M03,,LV01,2018-03-19 00:04:28,2018-03-19 12:00:00,,2018-04-03 22:20:20,,2018-04-10 13:35:05,false,,EDI,,,0,0,48,,false,LOAD-2450,,0,252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018647,,,EFIKEE0001,EFIKEE0001,EA,1512,,1512,1512,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4336,,HALLMART001,Pending Routing,KOHLS-0806-032618,KOHLS-0806-032618,KOHLS-0806-032618,,,2018-03-20 12:19:38,2018-03-26 12:00:00,,,2018-03-20 14:20:17,2018-03-26 09:03:17,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74390,,,HALLMART001,,CS,12,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74391,,,HALLMART001,,CS,9,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74392,,,HALLMART001,,CS,11,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74393,,,HALLMART001,,CS,5,CASE_PICK,0,0,2.9409534,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,,,HALLMART001,,CS,3,CASE_PICK,0,0,3.6411804,cubic footage,12,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77532,,,HALLMART001,,CS,22,CASE_PICK,0,0,3.0809988,cubic footage,11,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77533,,,HALLMART001,,CS,12,CASE_PICK,0,0,2.9409534,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77534,,,HALLMART001,,CS,6,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78327,,,HALLMART001,,CS,2,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78328,,,HALLMART001,,CS,3,CASE_PICK,0,0,3.6336573000000003,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78331,,,HALLMART001,,CS,6,CASE_PICK,0,0,3.0746331000000002,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78332,,,HALLMART001,,CS,8,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
LT,VB,DN-4337,,HALLMART001,Pending Routing,KOHLS-0816-032618,KOHLS-0816-032618,KOHLS-0816-032618,,,2018-03-20 12:19:41,2018-03-26 12:00:00,,,2018-03-20 14:29:23,2018-03-26 09:03:31,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74390,,,HALLMART001,,CS,23,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74391,,,HALLMART001,,CS,15,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74392,,,HALLMART001,,CS,33,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74393,,,HALLMART001,,CS,32,CASE_PICK,0,0,2.9409534,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77528,,,HALLMART001,,CS,66,CASE_PICK,0,0,3.0746331000000002,cubic footage,11,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,,,HALLMART001,,CS,52,CASE_PICK,0,0,3.6411804,cubic footage,12,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77530,,,HALLMART001,,CS,28,CASE_PICK,0,0,3.2083128000000003,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77531,,,HALLMART001,,CS,24,CASE_PICK,0,0,3.6336573000000003,cubic footage,13,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77532,,,HALLMART001,,CS,23,CASE_PICK,0,0,3.0809988,cubic footage,11,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77533,,,HALLMART001,,CS,20,CASE_PICK,0,0,2.9409534,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77534,,,HALLMART001,,CS,32,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77535,,,HALLMART001,,CS,24,CASE_PICK,0,0,3.4756722,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78327,,,HALLMART001,,CS,40,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78328,,,HALLMART001,,CS,27,CASE_PICK,0,0,3.6336573000000003,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78331,,,HALLMART001,,CS,39,CASE_PICK,0,0,3.0746331000000002,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78332,,,HALLMART001,,CS,23,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
LT,VB,DN-4338,,HALLMART001,Pending Routing,KOHLS-0826-032618,KOHLS-0826-032618,KOHLS-0826-032618,,,2018-03-20 12:19:45,2018-03-26 12:00:00,,,2018-03-20 14:38:27,2018-03-26 09:03:38,false,,EDI,,,0,0,48,,false,,,0,1
